Customer,Order No.,Date,PO No.,Item,Quantity,Cost Rate,Price Rate,Total Sales,Posted Sales,Diff. From Actual
80129000,CO   74380,10/1/15,89063,F18TWB,42,10.68,16.18,3741.72,3741.7,0.02
80129000,CO   74380,10/1/15,89063,FLOW12,12,26.84,43.23,3741.72,3741.7,0.02
80129000,CO   74380,10/1/15,89063,F1520SUB,42,23.35,51.3,3741.72,3741.7,0.02
80129000,CO   74380,10/1/15,89063,F30TWB,16,17.72,24.3,3741.72,3741.7,0.02
80180000,CO   74381,10/8/15,VBL ANTHONY,G10369 ALPINE,125,6.25,9.36,1745,1745,0
80180000,CO   74381,10/8/15,VBL ANTHONY,G10376 ALPINE,125,3,4.6,1745,1745,0
80257500,CO   73702,7/20/15,20151521212,G22300NYC.DEPT,12552,0.76,1.45,18200.4,38282.9,0
80257500,CO   74121,9/8/15,20151521212,G22300NYC.DEPT,13850,0.76,1.45,20082.5,38282.9,0
80280000,CO   74094,8/26/15,19124,FLOW15,4,32.4,44.47,177.88,35225.9,315.24
80280000,CO   74173,9/11/15,19290,F25Q1MECO,10,26.62,39.52,2788.13,35225.9,315.24
80280000,CO   74173,9/11/15,19290,F25Q1216,29,49.64,78.36,2788.13,35225.9,315.24
80280000,CO   74173,9/11/15,19290,FLOW10,1,22.66,36.65,2788.13,35225.9,315.24
80280000,CO   74173,9/11/15,19290,G15072 FADEN,1,17,83.84,2788.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F27S,20,34.16,60.26,2458,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FWW6,20,19.7,24.95,2458,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FWW8,20,26.32,37.69,2458,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F25Q1MECO,125,26.62,39.52,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F25Q1MPLAIN,350,21.54,26.5,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FLTW15,8,36.66,61.95,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F12DEL,50,10.22,31.17,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F12MIC,25,9.27,26.19,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F1418MGDW,90,23.62,43.98,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F1520MGDW,30,24.29,43.98,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F15DEL,8,12.72,34.52,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F15MIC,8,11.53,32.98,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F18MIC,5,13.81,34.68,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F912DEL,1,31.55,59.43,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F1520SUB,30,23.35,49.89,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F15MP,10,14.82,36.44,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FLOW15,25,32.4,44.47,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FLOW8,20,18.31,27.15,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FLOW12,30,26.84,41.17,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,FLOW10,20,22.66,36.65,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F1418SUB,30,23.23,49.89,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,G15072 FADEN,1,17,83.84,30117.13,35225.9,315.24
80280000,CO   74382,9/30/15,19518,F25Q1216,1,49.64,78.36,30117.13,35225.9,315.24
80320000,CO   74349,10/15/15,W033250,G10872 ATLAS,71,60,68.75,4881.25,4881.2,0.05
80530000,CO   74138,9/1/15,132935-bk,F1212DEL,5,34.56,51.76,289.83,3293.1,-1221.38
80530000,CO   74138,9/1/15,132935-bk,F15DEL,1,12.72,31.03,289.83,3293.1,-1221.38
80530000,CO   74231,9/11/15,133310-BK,F25Q1MPLAIN,3,21.54,30.48,91.44,3293.1,-1221.38
80530000,CO   74350,10/5/15,133697-BK,G11747 BORAX,20,35.87,0,0,3293.1,-1221.38
80530000,CO   74372,9/29/15,133741-bk,F25Q1MPLAIN,15,21.54,30.48,1690.45,3293.1,-1221.38
80530000,CO   74372,9/29/15,133741-bk,G11739 BORAX,78,4.7,8.2,1690.45,3293.1,-1221.38
80530000,CO   74372,9/29/15,133741-bk,F18MP,10,17.76,43.85,1690.45,3293.1,-1221.38
80530000,CO   74372,9/29/15,133741-bk,F15DEL,5,12.72,31.03,1690.45,3293.1,-1221.38
80610700,CO   73859,8/20/15,,G12055 BUNZL NJ,160,28.58,53.5,8560,61505.8,-4566.37
80610700,CO   74265,10/1/15,427366 NORMAL,F1215DEL,60,30.85,59.76,3585.6,61505.8,-4566.37
80610700,CO   74265,10/1/15,427366 NORMAL,F1215NUP,20,24.46,0,3585.6,61505.8,-4566.37
80610700,CO   74277,10/12/15,427505 NORMAL,F1215DEL,60,30.85,59.76,18342.4,61505.8,-4566.37
80610700,CO   74277,10/12/15,427505 NORMAL,G12071 BUNZL NY,160,75,92.23,18342.4,61505.8,-4566.37
80610700,CO   74309,9/16/15,427576 DIRECT,FWW6,1,19.7,28.75,28.75,61505.8,-4566.37
80610700,CO   74310,9/18/15,427569 NORMAL,FWW6,4,19.7,28.75,115,61505.8,-4566.37
80610700,CO   74314,9/30/15,427623 NORMAL,G12076 BUNZL NJ,16,170,0,0,61505.8,-4566.37
80610700,CO   74351,10/20/15,427864 NORMAL,F1215DEL,60,30.85,59.76,26307.68,61505.8,-4566.37
80610700,CO   74351,10/20/15,427864 NORMAL,G12070 BUNZL NY,500,17,18.12,26307.68,61505.8,-4566.37
80610700,CO   74351,10/20/15,427864 NORMAL,G12074 BUNZL NJ,64,177.82,213.47,26307.68,61505.8,-4566.37
80619700,CO   74376,10/7/15,S27366,F1520MGDW,90,24.29,44.04,3963.6,3963.6,0
80682800,CO   74389,10/8/15,OP 15047194,F25Q1MPLAIN,92,21.54,25.07,2306.44,7710.6,0.08
80682800,CO   74399,10/12/15,OP 15047215,F25Q1MPLAIN,92,21.54,25.07,5404.24,7710.6,0.08
80682800,CO   74399,10/12/15,OP 15047215,FLOW8,72,18.31,20.55,5404.24,7710.6,0.08
80682800,CO   74399,10/12/15,OP 15047215,G27330 TGT,180,9,8.99,5404.24,7710.6,0.08
80694000,CO   73856,8/15/15,VERBAL TOM,G12879 CV,1000,0.85,1.09,1090,1362.5,0
80694000,CO   73856,8/15/15,VERBAL TOM,G12880 CV,250,0.85,1.09,272.5,1362.5,0
80832700,CO   74109,8/26/15,305,F25Q1MPLAIN,244,21.54,31.03,7571.32,16863.8,0.02
80832700,CO   74334,9/29/15,57018,F12MIC,6,9.27,37.18,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,F1414DW,12,24.42,52.18,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,F1418SUB,30,23.23,52.18,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,F1520SUB,15,23.35,52.18,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,F1818DW,6,24.35,52.18,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,G14255 DIAMOND,6,25,52.18,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,FLOW6,2,14.16,38.6,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,FWW6,2,19.7,48.58,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,FLOW8,6,18.31,29,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,FLOW10,48,22.66,39.48,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,FLOW12,48,26.84,43.23,9292.5,16863.8,0.02
80832700,CO   74334,9/29/15,57018,FLOW15,24,32.4,47.94,9292.5,16863.8,0.02
80842400,CO   74311,10/9/15,103772A,G13649 CRAINE,15,24.92,38.75,1573.75,1573.7,0.05
80842400,CO   74311,10/9/15,103772A,G13650 CRAINE,10,28.44,44.25,1573.75,1573.7,0.05
80842400,CO   74311,10/9/15,103772A,G13651 CRAINE,10,35.48,55,1573.75,1573.7,0.05
80845500,CO   74391,10/2/15,81970,F1418MGDW,20,23.62,43.95,5054.25,5054.2,0.05
80845500,CO   74391,10/2/15,81970,F1414DW,10,24.42,43.95,5054.25,5054.2,0.05
80845500,CO   74391,10/2/15,81970,F1215DW,80,28.65,43.95,5054.25,5054.2,0.05
80845500,CO   74391,10/2/15,81970,F1212DW,5,28.54,43.95,5054.25,5054.2,0.05
81102500,CO   74344,10/2/15,P231171,G14525 ERB,40,48.45,77.13,3085.2,3085.2,0
81117400,CO   74335,9/28/15,VBL STEVE,FLOW12,48,26.84,41.5,1992,1992,0
81266000,CO   74384,10/14/15,1020753,F1215DW,360,28.65,41.36,24675.57,24675.5,0.07
81266000,CO   74384,10/14/15,1020753,FLOW8,160,18.31,29,24675.57,24675.5,0.07
81266000,CO   74384,10/14/15,1020753,G15254 FERRARO,22,9.2,23.06,24675.57,24675.5,0.07
81266000,CO   74384,10/14/15,1020753,G21928 MU,35,4.5,8.5,24675.57,24675.5,0.07
81266000,CO   74384,10/14/15,1020753,FLOW12,99,26.84,43.85,24675.57,24675.5,0.07
81312900,CO   72628,2/23/15,2592,G12304 CM,143,1.01,1.93,275.99,13000.4,0.08
81312900,CO   73632,6/26/15,2783,G12302 CM,93,1.01,1.93,4386.89,13000.4,0.08
81312900,CO   73632,6/26/15,2783,G12305 CM,1008,1.01,1.93,4386.89,13000.4,0.08
81312900,CO   73632,6/26/15,2783,G12303 CM,1172,1.01,1.93,4386.89,13000.4,0.08
81312900,CO   74046,9/11/15,2874,G12304 CM,2880,1.01,1.93,8337.6,13000.4,0.08
81312900,CO   74046,9/11/15,2874,G12302 CM,1440,1.01,1.93,8337.6,13000.4,0.08
81418000,CO   74174,10/20/15,45336247,G23840PILLSBURY,5000,7.44,13.96,69800,139600,0
81418000,CO   74317,11/6/15,45347320,G23840PILLSBURY,5000,7.44,13.96,69800,139600,0
81431500,CO   74398,10/5/15,,F25Q99,5,31.65,58.32,5000,4979,21
81431500,CO   74398,10/5/15,,F25Q1010,5,38.9,53.82,5000,4979,21
81431500,CO   74398,10/5/15,,F25Q1212,10,55.59,74.42,5000,4979,21
81431500,CO   74398,10/5/15,,F25Q1414,10,50.39,68.05,5000,4979,21
81431500,CO   74398,10/5/15,,F25Q1616,25,49.54,67.2,5000,4979,21
81431500,CO   74398,10/5/15,,F25Q1818,5,62.52,54.68,5000,4979,21
81431500,CO   74398,10/5/15,,F25Q1216,5,49.64,71.6,5000,4979,21
81431500,CO   74398,10/5/15,,FLOW12,10,26.84,44.67,5000,4979,21
81431500,CO   74398,10/5/15,,FLOW15,5,32.4,51.3,5000,4979,21
81473800,CO   74266,9/30/15,NE 30545,G25926 SG,100,6,13.61,1361,3402.5,0
81473800,CO   74403,10/20/15,NE 30878,G25926 SG,150,6,13.61,2041.5,3402.5,0
81537000,CO   74110,8/28/15,15615,G17455 GRIFF,279,0.4,1.09,304.11,304.1,0.01
81580000,CO   74170,9/4/15,901,F15FPLT,10,14.36,22.83,228.3,205,23.3
81591500,CO   73772,8/3/15,35227,G17760 I.HAL,50,66,80,4000,4000,0
81730000,CO   74329,9/30/15,35451,FWW10,20,26.09,37.6,1553.9,10243.1,0.02
81730000,CO   74329,9/30/15,35451,FWW6,30,19.7,26.73,1553.9,10243.1,0.02
81730000,CO   74329,9/30/15,35451,F1520SUB,30,23.35,49.13,8689.22,10243.1,0.02
81730000,CO   74329,9/30/15,35451,F1616DW,12,24.28,49.13,8689.22,10243.1,0.02
81730000,CO   74329,9/30/15,35451,F1818DW,10,24.35,49.13,8689.22,10243.1,0.02
81730000,CO   74329,9/30/15,35451,F1820DW,20,24.47,49.13,8689.22,10243.1,0.02
